epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7437.45,0.93405,0.89267,1.2132,0.61029,0.52732,0.5572,0.3358,1.63816,1.83639,1.96095,0.000848969,0.000848969,0.000848969
43,7611.91,0.91619,0.88314,1.21438,0.61809,0.58878,0.57677,0.34583,1.67301,1.76698,2.07002,0.000834822,0.000834822,0.000834822
44,7786.43,0.86167,0.85873,1.16519,0.63849,0.5872,0.59958,0.36906,1.5921,1.73389,1.9888,0.000820675,0.000820675,0.000820675
45,7960.9,0.92875,0.87143,1.21389,0.72282,0.56456,0.60578,0.36248,1.60882,1.66419,2.01282,0.000806528,0.000806528,0.000806528
46,8135.02,0.88918,0.83685,1.18406,0.79796,0.49803,0.616,0.36467,1.62643,1.75364,2.01072,0.00079238,0.00079238,0.00079238
47,8310.84,0.8233,0.81742,1.14726,0.70407,0.57409,0.6258,0.36864,1.58519,1.64136,1.97827,0.000778233,0.000778233,0.000778233
48,8484.52,0.8502,0.80412,1.15472,0.666,0.56027,0.5903,0.35574,1.60968,1.66426,2.02432,0.000764086,0.000764086,0.000764086
49,8660.99,0.83535,0.78146,1.15976,0.63976,0.58525,0.58825,0.36175,1.51112,1.56016,1.98425,0.000749939,0.000749939,0.000749939
50,8836.33,0.83292,0.76003,1.14576,0.66279,0.65093,0.60374,0.3625,1.55824,1.66785,1.97764,0.000735792,0.000735792,0.000735792
51,9010.95,0.82013,0.79596,1.14236,0.71544,0.57448,0.61455,0.3616,1.61895,1.72919,2.00899,0.000721645,0.000721645,0.000721645
52,9189.32,0.83501,0.73026,1.14939,0.68245,0.5702,0.591,0.35677,1.59375,1.75303,1.92528,0.000707498,0.000707498,0.000707498
53,9366.29,0.8202,0.76167,1.13862,0.69818,0.50401,0.57652,0.36488,1.57397,1.65138,1.94314,0.000693351,0.000693351,0.000693351
54,9545.14,0.81322,0.69058,1.12222,0.65851,0.51118,0.59047,0.35399,1.62094,1.54905,1.99501,0.000679204,0.000679204,0.000679204
55,9725.31,0.82622,0.70063,1.14891,0.61314,0.56238,0.58371,0.34976,1.57731,1.64624,1.99757,0.000665057,0.000665057,0.000665057
56,9901.86,0.76225,0.6801,1.10448,0.71657,0.55776,0.60418,0.39188,1.48454,1.69184,1.80959,0.000650909,0.000650909,0.000650909
57,10076,0.7849,0.67807,1.1024,0.63446,0.5808,0.58999,0.34984,1.53311,1.72052,1.9687,0.000636762,0.000636762,0.000636762
58,10246.2,0.78053,0.68346,1.13523,0.66557,0.53065,0.60689,0.34556,1.58613,1.80758,2.05661,0.000622615,0.000622615,0.000622615
59,10387.9,0.76895,0.68645,1.10831,0.69925,0.52095,0.61023,0.35685,1.58516,1.85313,2.05186,0.000608468,0.000608468,0.000608468
60,10528.3,0.74244,0.65161,1.09935,0.66094,0.5868,0.55362,0.34016,1.60582,1.82954,1.9865,0.000594321,0.000594321,0.000594321
61,10678.9,0.69358,0.6245,1.07396,0.69993,0.52149,0.57276,0.34816,1.57555,1.72345,1.96504,0.000580174,0.000580174,0.000580174
62,10812.6,0.7268,0.61532,1.07934,0.70616,0.58232,0.58438,0.35262,1.54795,1.72626,1.95827,0.000566027,0.000566027,0.000566027
63,10941.8,0.74258,0.64006,1.11451,0.65454,0.59163,0.59229,0.3866,1.48936,1.61129,1.93838,0.00055188,0.00055188,0.00055188
64,11063.1,0.73366,0.60787,1.07004,0.62379,0.59314,0.60638,0.38049,1.5305,1.67491,1.96988,0.000537733,0.000537733,0.000537733
65,11199,0.71468,0.62439,1.07112,0.64216,0.50518,0.58896,0.35194,1.56463,1.68446,2.00569,0.000523586,0.000523586,0.000523586
66,11326.1,0.69441,0.57779,1.05488,0.72343,0.53529,0.60256,0.3587,1.54387,1.58396,1.98711,0.000509438,0.000509438,0.000509438
